Ga_at	sample_shape	Ecorr_mVvsSCE	Epit_mVvsSCE
0	Rod	-1	355
0	Rod	-45	345
0	Rod	-31	361
1	Rod	-36	321
1	Rod	-20	311
1	Rod	-19	356
2	Rod	2	335
2	Rod	-17	356
2	Rod	-5	335
4	Rod	-52	300
4	Rod	-22	305
4	Rod	-37	356
8	Rod	-34	335
8	Rod	-24	348
8	Rod	-25	356
10	Rod	-50	381
10	Rod	-46	361
10	Rod	-34	395
0	Ribbon	-88	445
0	Ribbon	-82	408
0	Ribbon	-84	398
2	Ribbon	-63	393
2	Ribbon	-58	427
2	Ribbon	-47	392
4	Ribbon	-73	411
4	Ribbon	-68	476
4	Ribbon	-80	457
8	Ribbon	-71	445
8	Ribbon	-69	414
8	Ribbon	-62	465
10	Ribbon	-47	454
10	Ribbon	-62	369
10	Ribbon	-70	476
